City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code,z_score
McKeesport,,Jessica Myrick,Small Business,0.1,1,2012-01-01,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,4031,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131,-0.4450741095160181
Bowie,,Matt Collister,Home Office,0.08,1,2012-01-01,13729,Not Specified,9,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,1914,872.48,2012-01-03,Express Air,35.0,Maryland,95.99,20715,-0.2520053643488776
Napa,,Alan Schoenberger,Corporate,0.0,1,2012-01-02,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,1239.06,2012-01-02,Delivery Truck,48.8,California,291.73,94559,-0.149746882288873
Montebello,,Elizabeth Moffitt,Consumer,0.08,1,2012-01-02,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,6225,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640,-0.32388589699447196
Napa,,Alan Schoenberger,Corporate,0.07,1,2012-01-02,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,4083.19,2012-01-04,Delivery Truck,45.0,California,100.98,94559,0.643630870401729
Montebello,,Elizabeth Moffitt,Consumer,0.09,1,2012-01-02,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,West,6224,137.63,2012-01-04,Express Air,2.15,California,9.11,90640,-0.45699375853785235
Prior Lake,,David Philippe,Consumer,0.06,1,2012-01-02,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,Central,1279,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372,-0.4605699321971062
Napa,,Alan Schoenberger,Corporate,0.05,1,2012-01-02,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,4902.38,2012-01-09,Regular Air,7.07,California,155.06,94559,0.8721461356064187
Phenix City,,Patrick Jones,Home Office,0.09,1,2012-01-03,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5705,698.0,2012-01-04,Delivery Truck,52.2,Alabama,212.6,36869,-0.3006770320607811
Draper,,Larry Tron,Home Office,0.05,1,2012-01-03,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,1336,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020,-0.42208840674515125
Phenix City,,Patrick Jones,Home Office,0.03,1,2012-01-03,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5704,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869,-0.44726388823872815
Lake Oswego,,Alex Russell,Home Office,0.03,1,2012-01-03,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,West,1074,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035,-0.4612896301722134
Kearney,,Bill Donatelli,Corporate,0.03,1,2012-01-03,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,4223,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847,-0.47151882581065624
Layton,,Ann Steele,Corporate,0.0,1,2012-01-03,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,1663,896.49,2012-01-05,Delivery Truck,14.7,Utah,213.45,84041,-0.24530770993712378
Baton Rouge,,Andy Reiter,Corporate,0.08,1,2012-01-03,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802,-0.3496360210573205
Kearney,,Bill Donatelli,Corporate,0.01,1,2012-01-03,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,Central,4224,754.6555,2012-01-06,Regular Air,2.5,Nebraska,110.99,68847,-0.28487282716594076
Baton Rouge,,Andy Reiter,Corporate,0.04,1,2012-01-03,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1317,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802,-0.4608628325358126
Bryan,,Dave Hallsten,Home Office,0.06,1,2012-01-04,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,1039.56,2012-01-05,Delivery Truck,30.0,Texas,350.98,77803,-0.2053979466430956
